Age,Fare,Parch,PassengerId,Pclass,SibSp,x0_female,x0_male,x2_C,x2_Q,x2_S,Survived,predicted_probability,No,Yes
34.5,7.8292,0,892,3,0,0.0,1.0,0.0,1.0,0.0,No,0.9399999976158142,0.9354485,0.06455144
47.0,7.0,0,893,3,1,1.0,0.0,0.0,0.0,1.0,No,0.8500000238418579,0.8527728,0.14722721
62.0,9.6875,0,894,2,0,0.0,1.0,0.0,1.0,0.0,No,0.8100000023841858,0.80789137,0.1921086
27.0,8.6625,0,895,3,0,0.0,1.0,0.0,0.0,1.0,No,0.8600000143051147,0.8563361,0.14366388
22.0,12.2875,1,896,3,1,1.0,0.0,0.0,0.0,1.0,Yes,0.6600000262260437,0.33872837,0.66127163
14.0,9.225,0,897,3,0,0.0,1.0,0.0,0.0,1.0,No,0.9100000262260437,0.90801233,0.09198765
30.0,7.6292,0,898,3,0,1.0,0.0,0.0,1.0,0.0,Yes,0.6700000166893005,0.33419555,0.66580445
26.0,29.0,1,899,2,1,0.0,1.0,0.0,0.0,1.0,No,0.8700000047683716,0.87341076,0.12658925
18.0,7.2292,0,900,3,0,1.0,0.0,1.0,0.0,0.0,Yes,0.5899999737739563,0.40625578,0.5937442
21.0,24.15,0,901,3,2,0.0,1.0,0.0,0.0,1.0,No,0.9599999785423279,0.95554614,0.04445389
30.272590361445783,7.8958,0,902,3,0,0.0,1.0,0.0,0.0,1.0,No,0.9300000071525574,0.93151724,0.06848278
46.0,26.0,0,903,1,0,0.0,1.0,0.0,0.0,1.0,No,0.8500000238418579,0.8457058,0.15429418
23.0,82.2667,0,904,1,1,1.0,0.0,0.0,0.0,1.0,Yes,0.9700000286102295,0.033466935,0.96653306
63.0,26.0,0,905,2,1,0.0,1.0,0.0,0.0,1.0,No,0.8999999761581421,0.8967286,0.10327143
47.0,61.175,0,906,1,1,1.0,0.0,0.0,0.0,1.0,Yes,0.9599999785423279,0.037887692,0.9621123
24.0,27.7208,0,907,2,1,1.0,0.0,1.0,0.0,0.0,Yes,0.8399999737739563,0.16026253,0.8397375
35.0,12.35,0,908,2,0,0.0,1.0,0.0,1.0,0.0,No,0.8899999856948853,0.8881589,0.11184109
21.0,7.225,0,909,3,0,0.0,1.0,1.0,0.0,0.0,Yes,0.5799999833106995,0.58134705,0.41865295
27.0,7.925,0,910,3,1,1.0,0.0,0.0,0.0,1.0,Yes,0.5799999833106995,0.41600633,0.5839937
45.0,7.225,0,911,3,0,1.0,0.0,1.0,0.0,0.0,Yes,0.550000011920929,0.5546491,0.4453509
55.0,59.4,0,912,1,1,0.0,1.0,1.0,0.0,0.0,Yes,0.6899999976158142,0.6864271,0.31357288
9.0,3.1708,1,913,3,0,0.0,1.0,0.0,0.0,1.0,Yes,0.5400000214576721,0.5368618,0.4631382
30.272590361445783,31.6833,0,914,1,0,1.0,0.0,0.0,0.0,1.0,Yes,0.9700000286102295,0.032662034,0.96733797
21.0,61.3792,1,915,1,0,0.0,1.0,1.0,0.0,0.0,Yes,0.5400000214576721,0.5390665,0.4609335
48.0,262.375,3,916,1,1,1.0,0.0,1.0,0.0,0.0,Yes,0.8399999737739563,0.15511024,0.84488976
50.0,14.5,0,917,3,1,0.0,1.0,0.0,0.0,1.0,No,0.9300000071525574,0.9293079,0.070692115
22.0,61.9792,1,918,1,0,1.0,0.0,1.0,0.0,0.0,Yes,0.9700000286102295,0.033466935,0.96653306
22.5,7.225,0,919,3,0,0.0,1.0,1.0,0.0,0.0,No,0.7400000095367432,0.7449892,0.25501078
41.0,30.5,0,920,1,0,0.0,1.0,0.0,0.0,1.0,Yes,0.6100000143051147,0.38691336,0.61308664
30.272590361445783,21.6792,0,921,3,2,0.0,1.0,1.0,0.0,0.0,Yes,0.7099999785423279,0.7104517,0.2895483
50.0,26.0,0,922,2,1,0.0,1.0,0.0,0.0,1.0,No,0.9300000071525574,0.9293079,0.070692115
24.0,31.5,0,923,2,2,0.0,1.0,0.0,0.0,1.0,No,0.9300000071525574,0.9338966,0.06610338
33.0,20.575,2,924,3,1,1.0,0.0,0.0,0.0,1.0,Yes,0.6000000238418579,0.40047967,0.5995203
30.272590361445783,23.45,2,925,3,1,1.0,0.0,0.0,0.0,1.0,No,0.8299999833106995,0.825683,0.17431699
30.0,57.75,0,926,1,1,0.0,1.0,1.0,0.0,0.0,Yes,0.5799999833106995,0.58367217,0.4163278
18.5,7.2292,0,927,3,0,0.0,1.0,1.0,0.0,0.0,No,0.75,0.75244325,0.24755675
30.272590361445783,8.05,0,928,3,0,1.0,0.0,0.0,0.0,1.0,No,0.8399999737739563,0.8373346,0.16266543
21.0,8.6625,0,929,3,0,1.0,0.0,0.0,0.0,1.0,No,0.7900000214576721,0.79024315,0.20975685
25.0,9.5,0,930,3,0,0.0,1.0,0.0,0.0,1.0,No,0.8600000143051147,0.8563361,0.14366388
30.272590361445783,56.4958,0,931,3,0,0.0,1.0,0.0,0.0,1.0,Yes,0.5199999809265137,0.5203208,0.47967926
39.0,13.4167,1,932,3,0,0.0,1.0,1.0,0.0,0.0,No,0.8799999952316284,0.88164216,0.11835782
30.272590361445783,26.55,0,933,1,0,0.0,1.0,0.0,0.0,1.0,Yes,0.5400000214576721,0.4632964,0.5367036
41.0,7.85,0,934,3,0,0.0,1.0,0.0,0.0,1.0,No,0.9399999976158142,0.9354485,0.06455144
30.0,13.0,0,935,2,0,1.0,0.0,0.0,0.0,1.0,Yes,0.9399999976158142,0.061326087,0.9386739
45.0,52.5542,0,936,1,1,1.0,0.0,0.0,0.0,1.0,Yes,0.9599999785423279,0.037887692,0.9621123
25.0,7.925,0,937,3,0,0.0,1.0,0.0,0.0,1.0,Yes,0.7300000190734863,0.7269525,0.2730475
45.0,29.7,0,938,1,0,0.0,1.0,1.0,0.0,0.0,No,0.75,0.75156486,0.24843511
30.272590361445783,7.75,0,939,3,0,0.0,1.0,0.0,1.0,0.0,No,0.8799999952316284,0.88403,0.11597001
60.0,76.2917,0,940,1,0,1.0,0.0,1.0,0.0,0.0,Yes,0.9599999785423279,0.037887692,0.9621123
36.0,15.9,2,941,3,0,1.0,0.0,0.0,0.0,1.0,Yes,0.8500000238418579,0.15490806,0.84509194
24.0,60.0,0,942,1,1,0.0,1.0,0.0,0.0,1.0,Yes,0.7200000286102295,0.7212686,0.2787314
27.0,15.0333,0,943,2,0,0.0,1.0,1.0,0.0,0.0,No,0.8100000023841858,0.81244075,0.18755926
20.0,23.0,1,944,2,2,1.0,0.0,0.0,0.0,1.0,Yes,0.9300000071525574,0.06795782,0.9320422
28.0,263.0,2,945,1,3,1.0,0.0,0.0,0.0,1.0,Yes,0.8600000143051147,0.13600194,0.86399806
30.272590361445783,15.5792,0,946,2,0,0.0,1.0,1.0,0.0,0.0,Yes,0.5099999904632568,0.48930585,0.51069415
10.0,29.125,1,947,3,4,0.0,1.0,0.0,1.0,0.0,No,0.9200000166893005,0.9166472,0.083352834
35.0,7.8958,0,948,3,0,0.0,1.0,0.0,0.0,1.0,No,0.9399999976158142,0.9354485,0.06455144
25.0,7.65,0,949,3,0,0.0,1.0,0.0,0.0,1.0,No,0.8999999761581421,0.9007616,0.099238396
30.272590361445783,16.1,0,950,3,1,0.0,1.0,0.0,0.0,1.0,No,0.9100000262260437,0.90711755,0.092882454
36.0,262.375,0,951,1,0,1.0,0.0,1.0,0.0,0.0,Yes,0.9399999976158142,0.055032372,0.9449676
